Date	Description	Amount	Running Bal.
7/3/2023	Online Banking transfer from SAV	1,000.00	1,638.81
7/3/2023	VENMO DES:CASHOUT	489.59	2,128.40
7/3/2023	Denim Payment DES:WEB PMTS	-770.51	1,357.89
7/3/2023	VENMO DES:PAYMENT	-87	1,270.89
7/3/2023	VENMO DES:PAYMENT	-20	1,250.89
7/6/2023	Trader Joes Comp DES:PAYROLL	1,889.69	3,140.58
7/6/2023	VENMO DES:CASHOUT	15	3,155.58
7/6/2023	Online Banking transfer to SAV	-1,000.00	2,155.58
7/6/2023	Online Banking payment to CRD	-689.86	1,465.72
7/6/2023	VENMO DES:PAYMENT 	-365.82	1,099.90
7/10/2023	MYBESTBUY TOTAL Y 07/07 PURCHASE 888BESTBUY MN	-216.59	883.31
7/10/2023	MICROSOFT YEARLY 07/09 PURCHASE 888BESTBUY MN	-75.8	807.51
7/10/2023	VENMO DES:PAYMENT	-50	757.51
7/10/2023	VENMO DES:PAYMENT	-16	741.51
7/10/2023	KEEP THE CHANGE TRANSFER TO ACCT	-0.61	740.9
7/11/2023	DEPT EDUCATION DES:STUDENT LN -300	440.9
7/12/2023	VENMO DES:PAYMENT 	-49.75	391.15
7/20/2023	Trader Joes Comp DES:PAYROLL	1,806.84	2,197.99
7/20/2023	FIFTH THIRD BNK INSTALLMENT LOAN Bill Payment	-300	1,897.99
7/20/2023	APS electric pmt DES:PAYMENTS	-204.67	1,693.32
